epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6453,2.01984,3.83475,1.08396,0.01241,0.93056,0.0367,0.01222,1.90555,3.6393,1.05379,8e-05,8e-05,8e-05
2,38.7631,1.8984,2.47457,1.06365,0.01315,0.98611,0.04597,0.02003,1.73674,3.42858,1.00467,0.000179109,0.000179109,0.000179109
3,56.4282,1.76759,1.48097,1.0779,0.01333,1,0.04519,0.01946,1.59838,3.3786,0.9703,0.000277228,0.000277228,0.000277228
4,74.0981,1.75603,1.41182,1.05242,0.01333,1,0.05144,0.0218,1.58785,3.31971,0.96962,0.000374357,0.000374357,0.000374357
5,92.1419,1.7348,1.38383,1.04704,0.01333,1,0.05046,0.02143,1.53585,3.21352,0.9641,0.000470496,0.000470496,0.000470496
6,109.947,1.69346,1.23756,1.04244,0.01333,1,0.0664,0.0314,1.53534,3.15779,0.96056,0.000565645,0.000565645,0.000565645
7,127.526,1.68628,1.18161,0.99433,0.01296,0.97222,0.62985,0.25375,1.57929,2.99799,0.96233,0.000659804,0.000659804,0.000659804
8,145.305,1.71346,1.15743,1.03501,0.01315,0.98611,0.06521,0.02784,1.56114,3.03934,0.96859,0.000752973,0.000752973,0.000752973
9,163.183,1.76226,1.15135,0.99635,0.01315,0.98611,0.32817,0.12775,1.57304,2.96967,0.98106,0.000845152,0.000845152,0.000845152
10,180.921,1.64458,1.07747,1.00354,0.01333,1,0.70834,0.28732,1.67914,2.88035,1.00082,0.000936341,0.000936341,0.000936341
11,196.899,1.77813,1.11139,1.06023,0.01333,1,0.82028,0.35961,1.60723,2.81879,0.96947,0.00102654,0.00102654,0.00102654
12,213.031,1.70151,1.08592,1.04515,0.08318,0.94444,0.78355,0.33403,1.5674,2.54748,0.98624,0.00111575,0.00111575,0.00111575
13,228.843,1.6823,1.11151,1.02171,0.73268,0.65278,0.77618,0.33104,1.61916,2.46645,1.00704,0.00120397,0.00120397,0.00120397
14,244.613,1.77005,1.08018,1.06219,0.96652,0.401,0.93647,0.47565,1.58324,2.19543,1.0185,0.0012912,0.0012912,0.0012912
15,260.291,1.75984,1.06923,1.03975,0.97362,0.51266,0.95508,0.49012,1.56267,2.11517,0.97733,0.00137744,0.00137744,0.00137744
16,275.935,1.72568,1.0166,1.03463,0.89824,0.61303,0.91506,0.4073,1.67715,2.06687,1.02166,0.00146269,0.00146269,0.00146269
17,291.583,1.74434,1.08598,1.05607,0.88546,0.88889,0.91518,0.4024,1.62151,2.03802,0.99619,0.00154694,0.00154694,0.00154694
18,307.177,1.65561,1.03725,1.00582,0.89087,0.93056,0.95564,0.41748,1.68972,1.63198,1.01143,0.00163021,0.00163021,0.00163021
19,322.739,1.65077,0.9981,1.01001,0.87305,0.98611,0.95962,0.43369,1.63568,1.48121,0.99589,0.00171249,0.00171249,0.00171249
20,338.38,1.77716,1.0171,1.05754,0.77611,0.96294,0.91125,0.42096,1.69736,1.47887,1.03166,0.00179378,0.00179378,0.00179378
21,353.835,1.68052,1.09919,1.08001,0.77664,0.94444,0.89883,0.38255,1.72824,1.41734,1.04433,0.001802,0.001802,0.001802
