epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.844,1.54754,2.56325,1.06323,0.0053,0.96124,0.73032,0.26088,1.4239,3.35375,0.97273,0.00036,0.00036,0.00036
2,341.351,1.38376,1.33248,1.06176,0.00534,0.96899,0.21592,0.0671,1.36729,3.20615,0.9832,0.000736337,0.000736337,0.000736337
3,503.969,1.3549,1.20098,1.05733,0.0053,0.96124,0.2729,0.13006,1.35716,3.04074,1.04947,0.00110891,0.00110891,0.00110891
4,675.424,1.33809,1.10217,1.07057,0.98797,0.63665,0.94514,0.57681,1.3465,2.40127,1.17565,0.00147772,0.00147772,0.00147772
5,923.645,1.33369,1.05854,1.10801,0.99123,0.87647,0.99204,0.61128,1.28216,1.94297,1.15196,0.00184278,0.00184278,0.00184278
6,1065.35,1.33399,0.98801,1.0937,0.9619,0.97848,0.99272,0.60768,1.31953,0.93898,1.18183,0.0019505,0.0019505,0.0019505
7,1221.05,1.25578,0.91576,1.09357,0.96891,0.96628,0.97982,0.5914,1.30215,0.91882,1.16375,0.0019406,0.0019406,0.0019406
8,1379.74,1.35958,0.87893,1.09109,0.98412,0.96093,0.98943,0.59148,1.30141,0.80203,1.15303,0.0019307,0.0019307,0.0019307
9,1557.66,1.27466,0.80637,1.0818,0.95927,0.9845,0.99126,0.59602,1.30081,0.74763,1.14849,0.0019208,0.0019208,0.0019208
10,1733.81,1.31572,0.77269,1.11451,0.98378,0.94011,0.98489,0.58805,1.37322,0.7364,1.18582,0.0019109,0.0019109,0.0019109
11,1932.39,1.30035,0.72457,1.0962,0.98324,0.96899,0.99139,0.62197,1.25535,0.7062,1.12825,0.001901,0.001901,0.001901
12,2129.16,1.24556,0.71064,1.04627,0.95817,0.96124,0.98125,0.5912,1.35683,0.69346,1.20397,0.0018911,0.0018911,0.0018911
13,2299.75,1.28528,0.70179,1.07052,0.97572,0.93798,0.97835,0.59563,1.30802,0.67929,1.15,0.0018812,0.0018812,0.0018812
14,2456.66,1.26818,0.68965,1.09823,0.97647,0.97674,0.97822,0.5888,1.28682,0.6857,1.14215,0.0018713,0.0018713,0.0018713
